;;;en;;;de;;;es;;;pl;;;
1;Speech;readtext;Sentence 1;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 1;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 1;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 1;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
2;Speech;readtext;Sentence 2;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 2;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 2;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 2;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
3;Speech;readtext;Sentence 3;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 3;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 3;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 3;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
4;Speech;readtext;Sentence 4;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 4;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 4;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 4;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
5;Speech;readtext;Sentence 5;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 5;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 5;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 5;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
6;Speech;readtext;Sentence 6;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 6;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 6;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 6;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
7;Speech;readtext;Sentence 7;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 7;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 7;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 7;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
8;Speech;readtext;Sentence 8;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 8;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 8;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 8;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
9;Speech;readtext;Sentence 9;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 9;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 9;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 9;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
10;Speech;readtext;Sentence 10;Read a sentence;Please **read** the sentence that will be displayed on screen. Press Start button when you are ready.;Satz 10;Lesen Sie einen Satz;Bitte **lesen** Sie den auf dem Bildschirm angezeigten Satz. Wenn Sie bereit sind, klicken Sie bitte auf START.;Frase 10;Repetición de frase;Por favor lea la frase que aparecerá en pantalla. Cuando esté listo, presione el botón Empezar.;Zdanie 10;Przeczytaj zdanie;Przeczytaj zdanie, które zostanie wyświetlone na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_sentence.webm
11;Speech;audiorec;PATAKA;Word repetition;Please repeat the word **pataka** as many times as possible. Press Start button when you are ready.;PATAKA;Wortwiederholung;Bitte wiederholen Sie das Wort **pataka** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;PATAKA;Repetición rápida de una palabra;Repita la palabra **pataka** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;PATAKA;Powtarzanie słów;Powtórz słowo ** pataka ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_pataka.webm
12;Speech;audiorec;PETAKA;Word repetition;Please repeat the word **petaka** as many times as possible. Press Start button when you are ready.;PETAKA;Wortwiederholung;Bitte wiederholen Sie das Wort **petaka** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;PETAKA;Repetición rápida de una palabra;Repita la palabra **petaka** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;PETAKA;Powtarzanie słów;Powtórz słowo ** petaka ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_petaka.webm
13;Speech;audiorec;PAKATA;Word repetition;Please repeat the word **pakata** as many times as possible. Press Start button when you are ready.;PAKATA;Wortwiederholung;Bitte wiederholen Sie das Wort **pakata** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;PAKATA;Repetición rápida de una palabra;Repita la palabra **pakata** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;PAKATA;Powtarzanie słów;Powtórz słowo ** pakata ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_pakata.webm
14;Speech;audiorec;SIFASHU;Word repetition;Please repeat the word **sifashu** as many times as possible. Press Start button when you are ready.;SIFASCHU;Wortwiederholung;Bitte wiederholen Sie das Wort **sifaschu** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;SIFACHU;Repetición rápida de una palabra;Repita la palabra **sifachu** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;SIFASHU;Powtarzanie słów;Powtórz słowo ** sifashu ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_sifashu.webm
