de;es;en;pl
Lilo liebt lila Luftballons. Lina dagegen kann lila Luftballons nicht leiden.;Mi casa tiene tres cuartos.;My mom drove me to school fifteen minutes late on Tuesday.;Warszawa jest stolicą Polski. Kraków to miasto często odwiedzane przez partnerów spoza granic naszego miasta kraj.
Im Inhaltsverzeichnis stand nichts über Lindenblütentee.;Omar que vive cerca trajo miel.;The tape got stuck on my lips so I couldn't talk anymore.;Pewnego razu Północny Wiatr i Słońce sprzeczali się, kto z nich jest silniejszy.
Es reiten dreiunddreißig Reiter flott und munter den Berg dreiunddreißigmal hinauf und herunter.;Laura sube al tren que pasa.;My shoes are blue with yellow stripes and green stars on the front.;Właśnie przechodził drogą jakiś człowiek owinięty w ciepły płaszcz.
Peter und Paul essen gerne Pudding.;Los libros nuevos no caben en la mesa de la oficina.;I was so thirsty I couldn't wait to get a drink of water.;Umówili się więc, że ten z nich, który pierwszy zmusi przechodzącego, aby zdjął okrycie, będzie uważany za silniejszego.
Das Fest war sehr gut vorbereitet.;Rosita Niño, que pinta bien, donó sus cuadros ayer.;I found a gold coin on the playground after school today.;Północny Wiatr zaczął od razu dąć z całej siły, ale im więcej dął, tym silniej podróżny otulał się w płaszcz.
Seit seiner Hochzeit hat er sich sehr verändert.;Luisa Rey compra el colchón duro que tanto le gusta.;The chocolate chip cookies smelled so good that I ate one without asking.;Wreszcie Północny Wiatr dał spokój.
Abends übt Elsa oft auf ihrer elektronischen Orgel, und Antonio intoniert Arien aus italienischen Opern.;Viste las noticias? Yo vi ganar la medalla de plata en pesas. ¡Ese muchacho tiene mucha fuerza!;I was so scared to go to a monster movie but my dad said he would sit with me so we went last night.;Wtedy Słońce zaczęło przygrzewać, a w chwilę później podróżny zdjął płaszcz.
Der Kerzenständer fiel gemeinsam mit der Blumenvase auf den Plattenspieler.; Juan se rompió una pierna cuando iba en la moto.;The school principal was so mean that all the children were scared of him.;W ten sposób Północny Wiatr musiał przyznać, że Słońce jest silniejsze od niego.
Einst stritten sich die Sonne und der Wind, wer von ihnen beiden der Stärkere sei.;Estoy muy triste, ayer vi morir a un amigo.;The camping trip was so awesome that I didn't want to come home.;Dlaczego nie?
Sogleich begann der Wind zu stürmen. Regen und Hagelschauer unterstützten ihn.;Estoy muy preocupado, cada vez me es más difícil hablar!;That boy is so mean that he doesn't care if a door slams in your face or if he cuts in line.;Dziękuję, rozumiem.
